Name,Discord,Playing Launch,Playing Beta,UBG Discord,AE Discord,UBG Guilded,AE Discord,Guild,Notes,Discord Id
yopandaexpress,yopandaexpress#5385,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Unbroken,,144140617553805313
Kdawg0612,Kdawg0612#9258,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,198230641207279616
eUkanloZ,Cloud#3318,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,220991928341102592
fishstxx ,fishstxx#8597,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Unbroken,,78483621622587392
Jaxo,Jaxo#8699,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Unbroken,,183416731547467777
Mr Double D,Mr_Double_D#9971,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Unbroken,Epsom will handle,309736257867612160
Airborn4life,Airborn4life#8411,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Unbroken,No Response,747673625305284648
Supreme Commander Miggzz,Supreme Commander Miggzz#8625,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Unbroken,,886493680557494303
Ulrich,ulrich#8672,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Unbroken,,225973465352634368
Shrak,Shrak#2329,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,Abruptly left our server.,190964565020770304
Menso,Menso#1447,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Unbroken,,867213342699421707
Galroth,Veshuinn#8317,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Unbroken,,867062553296371742
Dornkirk,Dornkirk#1632,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken, ,885004305663402015
Polarbz,Polarbz#9498,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,Unknown / Does not want to play with us.,885698673646915624
Sriracha,Sriracha#6047,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,Did not like New World,881394812211851307
MayQraw,MayQraw#3804,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,,116352184794349569
Javi,Javi#2896,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,Abruptly left our server.,882109391178985493
KATIEYAY,KATIEYAY#5680,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,Belewyn's wife - She does not like our type and feels does not fit in with us,864676800826834965
xPLAYSVENx,xPLAYSVENx#5170,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,Firenation - Wants to create his own company,646472182754705412
Shyne,Shyne#0295,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,Firenation - Wants to create his own company,208048151439998977
Edward,EdwardVonDerpinburg#9020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Unbroken,Firenation - Wants to create his own company,228953762046148608
Pancakes Du Jour,Pancakes Du Jour#4002,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Unbroken,Belewyn's friend from knights of ni,867587770213990411
